,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,profits,buy_price,cumsum,buy_price_rate
66,601599.SH,鹿港文化,5,20150723,18.39,18.39,17.5,18.39,16.72,1.67,9.99,288300,529180.863,影视音像,-4.9,19.0,-13.09,3.32
77,603616.SH,韩建河山,6,20150807,42.0,48.47,41.0,48.47,44.06,4.41,10.01,194914,879493.695,其他建材,-4.78,51.0,-17.87,5.22
79,002188.SZ,ST巴士,6,20150811,33.02,33.5,32.61,33.5,30.45,3.05,10.02,109575,366109.7473,广告包装,-6.78,34.5,-24.650000000000002,2.99
81,000558.SZ,莱茵体育,5,20150819,21.97,26.85,21.97,26.85,24.41,2.44,10.0,870738,2159522.0056,文教休闲,-17.55,27.28,-42.2,1.6
82,000628.SZ,高新发展,4,20150828,13.86,13.86,13.86,13.86,12.6,1.26,10.0,17208,23851.3968,园区开发,-33.41,14.0,-75.61,1.01
92,000025.SZ,特力A,5,20150918,34.0,34.34,29.01,34.34,31.22,3.12,9.99,255874,833049.4734,汽车服务,20.3,34.5,-55.31,0.47
93,000025.SZ,特力A,6,20150921,34.5,37.77,32.11,37.77,34.34,3.43,9.99,155224,559485.8312,汽车服务,4.39,39.66,-50.92,5.0
94,000025.SZ,特力A,7,20150922,39.66,41.55,39.35,41.55,37.77,3.78,10.01,163860,672347.8156,汽车服务,3.65,43.5,-47.27,4.69
95,000025.SZ,特力A,8,20150923,43.5,45.71,41.65,45.71,41.55,4.16,10.01,151175,679092.5527,汽车服务,7.69,47.38,-39.580000000000005,3.65
102,300191.SZ,潜能恒信,8,20151021,36.5,37.8,35.88,37.8,34.36,3.44,10.01,214730,803937.6386,石油开采,8.22,39.92,-31.360000000000007,5.61
105,000008.SZ,神州高铁,4,20151028,13.01,13.74,12.8,13.74,12.49,1.25,10.01,1116836,1496858.9089,运输设备,-8.86,14.0,-40.220000000000006,1.89
106,300459.SZ,金科文化,4,20160112,24.76,24.76,24.76,24.76,22.51,2.25,10.0,4086,10118.174,互联网,-14.11,24.6,-54.330000000000005,-0.65
107,600610.SH,ST毅达,3,20160115,10.78,11.83,10.58,11.83,10.75,1.08,10.05,304324,350537.867,建筑工程,2.93,12.11,-51.400000000000006,2.37
108,600610.SH,ST毅达,4,20160118,12.11,13.01,12.11,13.01,11.83,1.18,9.97,149905,190380.842,建筑工程,11.29,13.1,-40.11000000000001,0.69
